Time,TP9,AF7,AF8,TP10,ABS(TP)SUM,ABS(AF)SUM,ABS_SUM,Non-ClenchedTeeth
1627069777648.4,-289.06,-27.34,-21.0,-116.21,405.27,48.34,453.60999999999996,True
1627069777652.31,17.58,-26.37,-18.55,-98.14,115.72,44.92,160.64000000000001,True
1627069777656.21,235.84,-33.2,-29.79,-68.36,304.2,62.99,367.19,True
1627069777660.12,-26.37,-29.3,-34.18,-99.61,125.98,63.480000000000004,189.46,True
1627069777664.03,-298.83,-24.9,-30.76,-121.58,420.40999999999997,55.66,476.06999999999994,True
1627069777667.93,-92.29,-28.32,-27.83,-90.33,182.62,56.15,238.76999999999998,True
1627069777671.84,226.07,-28.32,-28.81,-57.13,283.2,57.129999999999995,340.33,True
1627069777675.75,82.03,-18.55,-15.14,-81.05,163.07999999999998,33.69,196.76999999999998,True
1627069777679.65,-251.95,-22.46,-24.41,-107.91,359.86,46.870000000000005,406.73,True
1627069777683.56,-169.92,-25.88,-35.16,-82.03,251.95,61.03999999999999,312.99,True
1627069777687.46,175.29,-21.97,-23.44,-57.62,232.91,45.41,278.32,True
1627069777691.37,156.25,-25.39,-28.32,-81.05,237.3,53.71,291.01,True
1627069777695.28,-194.82,-30.76,-46.39,-113.28,308.1,77.15,385.25,True
1627069777699.18,-258.3,-35.64,-53.71,-103.52,361.82,89.35,451.16999999999996,True
1627069777703.09,76.17,-30.27,-34.67,-70.31,146.48000000000002,64.94,211.42000000000002,True
1627069777707.0,206.54,-24.9,-21.0,-66.89,273.43,45.9,319.33,True
1627069777710.9,-118.16,-40.04,-37.11,-97.17,215.32999999999998,77.15,292.47999999999996,True
1627069777714.81,-309.57,-46.39,-58.11,-107.91,417.48,104.5,521.98,True
1627069777718.71,-18.55,-40.53,-56.15,-75.68,94.23,96.68,190.91,True
1627069777722.62,226.56,-29.79,-33.2,-78.61,305.17,62.99,368.16,True
1627069777726.53,-12.7,-26.37,-40.04,-118.16,130.85999999999999,66.41,197.26999999999998,True
1627069777730.43,-306.64,-34.18,-57.62,-124.02,430.65999999999997,91.8,522.4599999999999,True
1627069777734.34,-132.32,-31.25,-51.27,-104.98,237.3,82.52000000000001,319.82,True
1627069777738.25,188.96,-24.41,-34.18,-88.87,277.83000000000004,58.59,336.4200000000001,True
1627069777742.15,67.38,-30.27,-34.18,-97.66,165.04,64.45,229.49,True
1627069777746.06,-284.67,-41.02,-54.2,-119.63,404.3,95.22,499.52,True
1627069777749.96,-250.0,-40.53,-53.71,-115.72,365.72,94.24000000000001,459.96,True
1627069777753.87,108.4,-29.79,-38.09,-91.8,200.2,67.88,268.08,True
1627069777757.78,139.16,-32.23,-49.8,-86.91,226.07,82.03,308.1,True
1627069777761.68,-212.89,-48.34,-73.24,-96.19,309.08,121.58,430.65999999999997,True
1627069777765.59,-311.52,-43.46,-49.8,-99.12,410.64,93.25999999999999,503.9,True
1627069777769.5,28.32,-25.39,-24.41,-85.94,114.25999999999999,49.8,164.05999999999997,True
1627069777773.4,191.41,-26.37,-26.86,-76.17,267.58,53.230000000000004,320.81,True
1627069777777.31,-125.0,-37.11,-37.6,-101.56,226.56,74.71000000000001,301.27000000000004,True
1627069777781.21,-347.17,-32.71,-47.36,-119.63,466.8,80.07,546.87,True
1627069777785.12,-79.1,-27.34,-41.5,-92.77,171.87,68.84,240.71,True
1627069777789.03,199.22,-28.32,-36.62,-71.78,271.0,64.94,335.94,True
1627069777792.93,-11.72,-31.25,-44.92,-94.24,105.96,76.17,182.13,True
1627069777796.84,-331.05,-36.62,-50.29,-109.86,440.91,86.91,527.82,True
1627069777800.75,-193.85,-37.11,-42.97,-88.87,282.72,80.08,362.80000000000007,True
1627069777804.65,149.41,-36.62,-44.43,-58.59,208.0,81.05,289.05,True
1627069777808.56,75.2,-39.06,-48.83,-66.89,142.09,87.89,229.98000000000002,True
1627069777812.46,-271.48,-37.11,-44.92,-99.12,370.6,82.03,452.63000000000005,True
1627069777816.37,-268.07,-38.57,-50.78,-88.38,356.45,89.35,445.79999999999995,True
1627069777820.28,83.5,-31.74,-39.55,-61.52,145.02,71.28999999999999,216.31,True
1627069777824.18,148.93,-22.46,-18.55,-65.92,214.85000000000002,41.010000000000005,255.86000000000004,True
1627069777828.09,-190.43,-30.27,-30.76,-105.47,295.9,61.03,356.92999999999995,True
1627069777832.0,-317.38,-41.02,-45.41,-115.23,432.61,86.43,519.04,True
1627069777835.9,6.35,-39.55,-36.13,-76.66,83.00999999999999,75.68,158.69,True
1627069777839.81,202.15,-35.64,-26.37,-64.94,267.09000000000003,62.010000000000005,329.1,True
1627069777843.71,-81.05,-36.62,-34.67,-97.17,178.22,71.28999999999999,249.51,True
1627069777847.62,-322.27,-42.48,-44.43,-107.42,429.69,86.91,516.6,True
1627069777851.53,-87.89,-41.5,-40.04,-76.66,164.55,81.53999999999999,246.09,True
1627069777855.43,203.13,-32.23,-18.07,-63.48,266.61,50.3,316.91,True
1627069777859.34,12.21,-31.74,-18.07,-95.21,107.41999999999999,49.81,157.23,True
1627069777863.25,-317.87,-39.55,-39.55,-121.58,439.45,79.1,518.55,True
1627069777867.15,-202.64,-41.02,-44.43,-90.82,293.46,85.45,378.90999999999997,True
1627069777871.06,121.09,-33.69,-24.41,-75.2,196.29000000000002,58.099999999999994,254.39000000000001,True
1627069777874.96,92.29,-37.6,-22.46,-89.36,181.65,60.06,241.71,True
1627069777878.87,-244.14,-49.32,-33.69,-108.89,353.03,83.00999999999999,436.03999999999996,True
1627069777882.78,-278.81,-45.9,-29.79,-108.89,387.7,75.69,463.39,True
1627069777886.68,78.61,-34.18,-26.37,-86.91,165.51999999999998,60.55,226.07,True
1627069777890.59,177.25,-34.67,-32.71,-85.45,262.7,67.38,330.08,True
1627069777894.5,-160.16,-47.36,-46.88,-108.4,268.56,94.24000000000001,362.8,True
1627069777898.4,-318.85,-45.9,-51.76,-109.86,428.71000000000004,97.66,526.37,True
1627069777902.31,-7.81,-37.11,-36.13,-80.57,88.38,73.24000000000001,161.62,True
1627069777906.21,226.07,-32.71,-26.86,-64.94,291.01,59.57,350.58,True
1627069777910.12,-26.37,-37.11,-46.88,-77.15,103.52000000000001,83.99000000000001,187.51,True
1627069777914.03,-299.32,-42.97,-49.8,-83.5,382.82,92.77,475.59,True
1627069777917.93,-101.07,-34.67,-27.83,-73.24,174.31,62.5,236.81,True
1627069777921.84,201.17,-32.71,-29.3,-63.96,265.13,62.010000000000005,327.14,True
1627069777925.75,47.36,-39.55,-45.41,-72.27,119.63,84.96,204.59,True
1627069777929.65,-277.34,-42.48,-43.95,-89.84,367.17999999999995,86.43,453.60999999999996,True
1627069777933.56,-202.64,-44.43,-41.99,-85.94,288.58,86.42,375.0,True
1627069777937.46,146.0,-41.99,-37.6,-58.11,204.11,79.59,283.70000000000005,True
1627069777941.37,145.51,-43.95,-41.02,-61.52,207.03,84.97,292.0,True
1627069777945.28,-198.73,-42.48,-48.83,-100.59,299.32,91.31,390.63,True
1627069777949.18,-257.32,-42.48,-43.46,-105.96,363.28,85.94,449.21999999999997,True
1627069777953.09,77.64,-44.92,-35.16,-71.29,148.93,80.08,229.01000000000002,True
1627069777957.0,214.36,-42.48,-41.02,-50.78,265.14,83.5,348.64,True
1627069777960.9,-92.29,-33.2,-44.92,-84.47,176.76,78.12,254.88,True
1627069777964.81,-280.27,-39.06,-51.27,-104.49,384.76,90.33000000000001,475.09,True
1627069777968.71,-0.98,-41.02,-51.76,-70.31,71.29,92.78,164.07,True
1627069777972.62,244.14,-33.69,-39.06,-51.27,295.40999999999997,72.75,368.15999999999997,True
1627069777976.53,11.72,-35.16,-41.02,-65.92,77.64,76.18,153.82,True
1627069777980.43,-266.6,-36.62,-40.04,-80.08,346.68,76.66,423.34000000000003,True
1627069777984.34,-92.29,-38.09,-32.71,-61.52,153.81,70.80000000000001,224.61,True
1627069777988.25,225.59,-28.81,-32.71,-34.67,260.26,61.519999999999996,321.78,True
1627069777992.15,118.65,-27.83,-37.6,-58.11,176.76,65.43,242.18999999999997,True
1627069777996.06,-223.63,-37.6,-47.36,-94.24,317.87,84.96000000000001,402.83000000000004,True
1627069777999.96,-174.8,-36.13,-47.85,-74.71,249.51,83.98,333.49,True
1627069778003.87,179.2,-35.64,-39.06,-27.34,206.54,74.7,281.24,True
1627069778007.78,201.17,-27.34,-23.93,-49.32,250.48999999999998,51.269999999999996,301.76,True
1627069778011.68,-146.97,-30.27,-30.76,-94.24,241.20999999999998,61.03,302.23999999999995,True
1627069778015.59,-247.56,-38.09,-40.53,-93.75,341.31,78.62,419.92999999999995,True
1627069778019.5,76.17,-32.23,-20.51,-62.5,138.67000000000002,52.739999999999995,191.41,True
1627069778023.4,243.65,-31.25,-14.16,-44.43,288.08,45.41,333.49,True
1627069778027.31,-57.13,-37.6,-28.81,-71.78,128.91,66.41,195.32,True
1627069778031.21,-273.44,-33.69,-33.69,-80.08,353.52,67.38,420.9,True
1627069778035.12,-14.16,-30.76,-19.53,-45.41,59.56999999999999,50.290000000000006,109.86,True
1627069778039.03,248.54,-33.2,-18.07,-31.74,280.28,51.27,331.54999999999995,True
1627069778042.93,44.43,-33.69,-36.13,-46.39,90.82,69.82,160.64,True
1627069778046.84,-260.25,-32.71,-47.36,-62.01,322.26,80.07,402.33,True
1627069778050.75,-123.05,-26.86,-35.16,-63.96,187.01,62.019999999999996,249.03,True
1627069778054.65,207.52,-23.93,-27.34,-55.18,262.7,51.269999999999996,313.96999999999997,True
1627069778058.56,136.72,-24.9,-46.39,-62.01,198.73,71.28999999999999,270.02,True
1627069778062.46,-204.59,-35.16,-64.94,-75.68,280.27,100.1,380.36999999999995,True
1627069778066.37,-204.1,-21.48,-54.2,-78.13,282.23,75.68,357.91,True
1627069778070.28,137.21,-12.21,-44.92,-62.01,199.22,57.13,256.35,True
1627069778074.18,195.8,-23.44,-47.85,-54.2,250.0,71.29,321.29,True
1627069778078.09,-139.16,-27.34,-49.32,-80.08,219.24,76.66,295.90000000000003,True
1627069778082.0,-269.04,-27.83,-56.64,-76.17,345.21000000000004,84.47,429.68,True
1627069778085.9,38.57,-29.3,-54.69,-50.29,88.86,83.99,172.85,True
1627069778089.81,223.63,-32.23,-47.36,-53.22,276.85,79.59,356.44000000000005,True
1627069778093.71,-56.15,-38.57,-39.55,-69.34,125.49000000000001,78.12,203.61,True
1627069778097.62,-296.88,-40.04,-40.04,-89.84,386.72,80.08,466.80000000000007,True
1627069778101.53,-69.34,-41.99,-39.55,-72.75,142.09,81.53999999999999,223.63,True
1627069778105.43,217.29,-41.5,-32.71,-40.53,257.82,74.21000000000001,332.03,True
1627069778109.34,43.46,-36.62,-40.53,-62.99,106.45,77.15,183.6,True
1627069778113.25,-277.83,-41.99,-55.18,-95.21,373.03999999999996,97.17,470.21,True
1627069778117.15,-177.73,-52.73,-51.76,-77.15,254.88,104.49,359.37,True
1627069778121.06,159.18,-51.76,-46.88,-42.48,201.66,98.64,300.3,True
1627069778124.96,125.49,-37.6,-47.36,-56.64,182.13,84.96000000000001,267.09,True
1627069778128.87,-213.87,-40.53,-50.78,-88.87,302.74,91.31,394.04999999999995,True
1627069778132.78,-240.72,-52.25,-58.11,-76.66,317.38,110.36,427.74,True
1627069778136.68,101.56,-51.27,-52.73,-26.86,128.42000000000002,104.0,232.42000000000002,True
1627069778140.59,199.71,-35.64,-37.11,-26.37,226.08,72.75,298.83000000000004,True
1627069778144.5,-126.46,-36.13,-42.97,-63.96,190.42,79.1,269.52,True
1627069778148.4,-284.67,-43.46,-45.41,-69.82,354.49,88.87,443.36,True
1627069778152.31,17.09,-29.3,-30.27,-55.18,72.27,59.57,131.84,True
1627069778156.21,233.89,-24.9,-21.0,-47.85,281.74,45.9,327.64,True
1627069778160.12,-32.71,-33.2,-31.25,-76.66,109.37,64.45,173.82,True
1627069778164.03,-303.71,-38.57,-49.8,-100.59,404.29999999999995,88.37,492.66999999999996,True
1627069778167.93,-105.96,-34.67,-38.57,-80.08,186.04,73.24000000000001,259.28,True
1627069778171.84,198.24,-30.76,-17.09,-58.11,256.35,47.85,304.2,True
1627069778175.75,48.83,-39.06,-26.37,-74.71,123.53999999999999,65.43,188.97,True
1627069778179.65,-281.25,-51.76,-41.99,-91.8,373.05,93.75,466.8,True
1627069778183.56,-207.03,-54.69,-42.97,-62.99,270.02,97.66,367.67999999999995,True
1627069778187.46,133.3,-32.71,-20.02,-51.76,185.06,52.730000000000004,237.79000000000002,True
1627069778191.37,132.32,-25.88,-11.23,-62.01,194.32999999999998,37.11,231.43999999999997,True
1627069778195.28,-204.59,-37.11,-32.71,-79.1,283.69,69.82,353.51,True
1627069778199.18,-274.9,-40.04,-36.62,-91.31,366.21,76.66,442.87,True
1627069778203.09,50.29,-38.57,-19.53,-74.22,124.50999999999999,58.1,182.60999999999999,True
1627069778207.0,185.55,-31.25,-11.72,-68.36,253.91000000000003,42.97,296.88000000000005,True
1627069778210.9,-115.23,-36.62,-23.93,-92.77,208.0,60.55,268.55,True
1627069778214.81,-304.69,-45.9,-27.83,-103.03,407.72,73.72999999999999,481.45,True
1627069778218.71,-33.2,-41.5,-18.07,-75.68,108.88000000000001,59.57,168.45,True
1627069778222.62,203.61,-40.04,-15.63,-52.73,256.34000000000003,55.67,312.01000000000005,True
